constituency,party,name,gender,birth,job,academic,career,votes
청원군,민주통합당,변재일(卞在一),남,1948/09/02(63세),국회의원,미국 펜실베니아대학교 대학원 정치학 2년(81.9∼83. 5)졸업 (국제정치학 석사),(전)정보통신부 차관(현)국회 교육과학기술위원회 위원장,31658(49.31)
보은군옥천군영동군,새누리당,박덕흠(朴德欽),남,1953/10/18(58세),대한전문건설협회 중앙회 회장,한양대학교 대학원 토목공학과 박사과정 졸업,(현)새누리당 중앙위 재정분과 부위원장(현)대한전문건설협회 중앙회 회장,30196(40.67)
증평군진천군괴산군음성군,새누리당,경대수(慶大秀),남,1958/03/18(54세),변호사,서울대학교 대학원(석사과정) 법학과 수료,(현)새누리당 충북도당 위원장(전)대검찰청 마약조직 범죄부장(검사장),51471(53.66)
천안시갑,민주통합당,양승조(梁承晁),남,1959/03/21(53세),국회의원,단국대학교 정책경영대학원 특수법무학과 졸업(법학석사),(현)제18대 국회의원(현)변호사,57810(51.53)
천안시을,민주통합당,박완주(朴完柱),남,1966/11/10(45세),정당인,성균관대학교 한국철학과 졸업,(전)민주통합당 천안을 지역위원장(전)민주당 부대변인,41945(41.91)
공주시,민주통합당,박수현(朴洙賢),남,1964/08/14(47세),정당인   ,연세대학교 행정대학원 사회복지전공 석사과정 졸업,(전)충청남도(안희정도지사) 정책특별보좌관(전)민주당공주시연기군지역위원장,26210(47.87)
보령시서천군,새누리당,김태흠(金泰欽),남,1963/01/11(49세),정당인,서강대학교공공정책대학원 사회복지정책학과 졸업(행정학석사),(전)충남정무부지사(전)한나라당 보령서천당원협의회 위원장,35197(46.42)
아산시,자유선진당,이명수(李明洙),남,1955/02/11(57세),국회의원,성균관대 대학원 졸업(행정학과 행정학 박사),(전) 충청남도 행정부지사(현) 국회의원,41359(40.88)
서산시태안군,자유선진당,성완종(成完鍾),남,1951/08/20(60세),기업인,미기재,(현)서산장학재단 이사장(현)경남기업(주) 회장,39615(42.55)
논산시계룡시금산군,자유선진당,이인제(李仁濟),남,1948/12/11(63세),국회의원,서울대학교 법과대학 졸업,(전)노동부장관(전)경기도지사,40076(42.36)
부여군청양군,새누리당,김근태(金瑾泰),남,1952/11/26(59세),정당인,동국대학교 경영대학원 경영학과 졸업,(전)제1야전군 사령관(현)새누리당 부여군청양군 당협위원장,22886(43.54)
홍성군예산군,새누리당,홍문표(洪文杓),남,1947/10/05(64세),정당인,한양대학교 행정대학원(석사) 졸업,(전)17대 국회의원(현)새누리당 농어촌대책특위 위원장,39191(50.80)
당진시,새누리당,김동완(金東完),남,1958/06/20(53세),정당인,서울대학교 행정대학원 졸업(석사),(전)대통령비서관(전)충청남도 행정부지사,26870(44.20)
전주시완산구갑,민주통합당,김윤덕(金潤德),남,1966/05/23(45세),정당인,전북대학교 상과대학 졸업,(현)노무현재단기획위원(전)전북경제통상진흥원장,32847(52.08)
전주시완산구을,민주통합당,이상직(李相稷),남,1963/01/30(49세),이스타항공 회장,고려대학교 경영대학원 졸업(경영학석사),(전)(주)케이아이씨 대표이사(현)굿월드자선은행 대표,39892(46.96)
전주시덕진구,민주통합당,김성주(金成柱),남,1964/04/10(48세),정당인,서울대학교 인문대학 국사학과졸업,(전)전라북도의회 환경복지위원회 위원장(전)민주화운동 명예회복 및 상이보상 대상자,64744(62.52)
군산시,민주통합당,김관영(金寬永),남,1969/11/15(42세),변호사,서울대학교 행정대학원 행정학과 졸업,전)재정경제부 사무관전)김앤장 법률사무소 변호사,60342(60.04)
익산시갑,민주통합당,이춘석(李春錫),남,1963/03/07(49세),국회의원,원광대학교 대학원 법학과 박사과정 수료,(현)18대 국회의원(전)민주당 대변인,41941(77.98)
익산시을,민주통합당,전정희(全正姬),여,1960/10/24(51세),전북대학교 겸임교수,전북대학교 대학원 정치학 박사,(현) 전북대학교 겸임교수(현) 전북여성정치발전센터 소장,25797(39.52)
정읍시,무소속,유성엽(柳成葉),남,1960/01/25(52세),국회의원,서울대학교 사회과학대학 외교학과 졸업,(전)정읍시장(현)국회의원,28810(48.73)
남원시순창군,통합진보당,강동원(姜東遠),남,1953/01/20(59세),정당인,경기대학교 정치전문대학원 박사과정 졸업(정치학박사),(전)농수산물 유통공사 감사(현)통합진보당 전북도당 부위원장,28007(49.36)
김제시완주군,민주통합당,최규성(崔圭成),남,1950/02/04(62세),국회의원,서울대학교 법과대학 법학과 졸업,전)민주통합당 초대 사무총장현)김제시완주군 국회의원,41757(54.95)
진안군무주군장수군임실군,민주통합당,박민수(朴敏秀),남,1964/09/21(47세),변호사,고려대학교 법과대학 법학과 졸업,(전)국민시대 전북지부 공동대표(현)노무현재단 전북위원회 운영위원,27882(49.35)
고창군부안군,민주통합당,김춘진(金椿鎭),남,1953/01/24(59세),국회의원,경희대학교 대학원 치의학과 졸업(치의학 박사),(현)제18대 국회의원(현)민주통합당 전북도당 위원장,23097(39.34)
목포시,민주통합당,박지원(朴智元),남,1942/06/05(69세),국회의원,단국대 상학과 졸업,(전)김대중대통령 비서실장(현)민주통합당 최고위원,63705(71.17)
여수시갑,민주통합당,김성곤(金星坤),남,1952/11/06(59세),국회의원,美 템플대학교 졸업 종교학전공 철학박사(1985년 ~ 1991년),(전)17대 국회국방위원장(현)국회 박람회 사후활용 소위원장,23519(43.10)
